City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Kavieng,PG,85.37,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
9,Zabid,YE,86.7,overcast clouds,14.1951,43.3152,مغرب التريبه
11,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
15,Kapaa,US,85.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
20,Namatanai,PG,84.81,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
23,Callaway,US,81.0,scattered clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
25,Hit,IQ,83.23,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
27,Jeremie,HT,79.95,overcast clouds,18.65,-74.1167,Auberge’Inn
30,Hilo,US,80.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
31,Mapastepec,MX,77.45,broken clouds,15.4333,-92.9,Hotel San Carlos
48,Punta Cardon,VE,80.74,broken clouds,11.6581,-70.215,Bambuda hotel
50,Faanui,PF,79.88,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
53,Butaritari,KI,82.17,few clouds,3.0707,172.7902,Isles Sunset Lodge
54,Anito,PH,85.73,broken clouds,12.4497,125.2886,El Felix Cottages
56,Hithadhoo,MV,83.95,overcast clouds,-0.6,73.0833,Scoop Guest House
62,Mitsamiouli,KM,77.59,clear sky,-11.3847,43.2844,Foyer ADM
63,Naze,JP,79.72,broken clouds,28.3667,129.4833,Shishime Hotel
69,Garowe,SO,76.15,overcast clouds,8.4054,48.4845,Curubo Hotel
70,Jacareacanga,BR,75.27,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
71,Kudahuvadhoo,MV,83.5,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
79,Jacksonville Beach,US,79.07,overcast clouds,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
90,Port Elizabeth,ZA,75.09,clear sky,-33.918,25.5701,39 On Nile Guest House
92,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
96,Tautira,PF,78.48,light rain,-17.7333,-149.15,Pension Oaoa
97,Najran,SA,75.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
98,Atuona,PF,78.08,clear sky,-9.8,-139.0333,Villa Enata
103,Gombe,NG,78.48,light rain,10.2897,11.1673,Custodian Hotel Gombe
104,Ahuimanu,US,87.51,clear sky,21.4447,-157.8378,Paradise Bay Resort
106,Bengkulu,ID,77.65,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
122,Shache,CN,77.34,overcast clouds,38.4167,77.2406,Delong Hotel
124,Ambulu,ID,81.34,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
127,Sungairaya,ID,84.09,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
132,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
