City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,-20.4081,57.7,68.29,100,75,3.44,light rain
1,High Level,CA,58.5169,-117.136,60.91,82,75,2.3,broken clouds
2,Moron,AR,-34.6534,-58.6198,49.75,68,10,4.41,clear sky
3,Saint-Philippe,RE,-21.3585,55.7679,63.99,82,36,12.24,light rain
4,Saint George,US,37.1041,-113.5841,102.79,7,0,12.66,clear sky
5,Egvekinot,RU,66.3167,-179.1667,40.95,47,73,3.15,broken clouds
6,Kavieng,PG,-2.5744,150.7967,85.37,66,43,13.18,scattered clouds
7,Mataura,NZ,-46.1927,168.8643,47.48,90,99,3.69,light rain
8,Ushuaia,AR,-54.8,-68.3,49.66,76,75,8.05,broken clouds
9,Zabid,YE,14.1951,43.3152,86.7,56,100,5.75,overcast clouds
10,Dudinka,RU,69.4058,86.1778,69.62,34,100,11.41,overcast clouds
11,Avarua,CK,-21.2078,-159.775,78.85,65,40,16.11,scattered clouds
12,Dikson,RU,73.5069,80.5464,39.25,81,100,9.28,overcast clouds
13,Upernavik,GL,72.7868,-56.1549,28.47,82,100,16.11,overcast clouds
14,Inuvik,CA,68.3499,-133.7218,45.46,76,100,10.36,overcast clouds
15,Kapaa,US,22.0752,-159.319,85.98,78,40,16.11,scattered clouds
16,Puerto Ayora,EC,-0.7393,-90.3518,71.55,96,94,1.99,overcast clouds
17,Vaini,TO,-21.2,-175.2,82.56,78,40,9.22,scattered clouds
18,Bredasdorp,ZA,-34.5322,20.0403,60.1,32,100,4.85,overcast clouds
19,Talgar,KZ,43.3027,77.2395,68.16,53,20,0.0,few clouds
20,Namatanai,PG,-3.6667,152.4333,84.81,66,50,10.58,scattered clouds
21,Port Alfred,ZA,-33.5906,26.891,69.19,38,80,7.0,broken clouds
22,Aklavik,CA,68.2191,-135.0107,37.36,87,100,13.71,overcast clouds
23,Callaway,US,30.153,-85.5699,81.0,82,40,4.61,scattered clouds
24,Carnarvon,AU,-24.8667,113.6333,72.46,61,47,11.63,scattered clouds
25,Hit,IQ,33.6416,42.8251,83.23,17,0,11.23,clear sky
26,Hobart,AU,-42.8794,147.3294,46.26,71,75,20.71,broken clouds
27,Jeremie,HT,18.65,-74.1167,79.95,83,94,0.72,overcast clouds
28,Richards Bay,ZA,-28.783,32.0377,62.46,86,0,12.1,clear sky
29,Bambous Virieux,MU,-20.3428,57.7575,68.25,100,75,3.44,moderate rain
30,Hilo,US,19.7297,-155.09,80.28,82,100,11.5,overcast clouds
31,Mapastepec,MX,15.4333,-92.9,77.45,88,57,1.57,broken clouds
32,Barrow,US,71.2906,-156.7887,32.02,80,100,12.66,overcast clouds
33,Busselton,AU,-33.65,115.3333,64.69,82,60,22.35,broken clouds
34,Lagoa,PT,39.05,-27.9833,61.36,80,30,19.06,light rain
35,Santa Maria,BR,-29.6842,-53.8069,45.7,57,0,11.5,clear sky
36,Nacala,MZ,-14.5428,40.6728,63.91,93,3,8.3,clear sky
37,Cape Town,ZA,-33.9258,18.4232,63.12,70,0,8.05,clear sky
38,Rikitea,PF,-23.1203,-134.9692,73.92,69,87,11.79,overcast clouds
39,Saint Austell,GB,50.3383,-4.7658,57.76,82,40,11.5,scattered clouds
40,Zhangye,CN,38.9342,100.4517,74.19,12,0,1.21,clear sky
41,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,100,14.97,overcast clouds
42,Kaitangata,NZ,-46.2817,169.8464,46.53,68,100,4.76,overcast clouds
43,Nome,US,64.5011,-165.4064,51.87,40,100,5.75,overcast clouds
44,Zavoronezhskoye,RU,52.8801,40.5526,59.0,84,72,4.59,broken clouds
45,Quatre Cocos,MU,-20.2078,57.7625,68.11,85,99,15.5,light rain
46,Palmer,US,42.1584,-72.3287,64.85,76,20,6.91,few clouds
47,Port Macquarie,AU,-31.4333,152.9167,65.89,35,0,7.76,clear sky
48,Punta Cardon,VE,11.6581,-70.215,80.74,83,82,28.01,broken clouds
49,Turukhansk,RU,65.8167,87.9833,64.17,45,100,9.57,overcast clouds
50,Faanui,PF,-16.4833,-151.75,79.88,75,13,14.29,light rain
51,Saldanha,ZA,-33.0117,17.9442,57.25,85,100,13.15,overcast clouds
52,Groningen,NL,53.25,6.75,55.02,88,30,4.61,scattered clouds
53,Butaritari,KI,3.0707,172.7902,82.17,74,24,11.79,few clouds
54,Anito,PH,12.4497,125.2886,85.73,68,83,6.13,broken clouds
55,Beringovskiy,RU,63.05,179.3167,38.21,79,61,8.1,broken clouds
56,Hithadhoo,MV,-0.6,73.0833,83.95,72,100,13.22,overcast clouds
57,Chokurdakh,RU,70.6333,147.9167,65.05,23,95,11.54,overcast clouds
58,Hluti,SZ,-27.2167,31.6167,51.69,74,0,4.29,clear sky
59,Khatanga,RU,71.9667,102.5,55.6,48,87,8.43,overcast clouds
60,Talnakh,RU,69.4865,88.3972,69.21,33,100,10.38,overcast clouds
61,Bajram Curri,AL,42.3554,20.0784,60.19,92,38,4.18,scattered clouds
62,Mitsamiouli,KM,-11.3847,43.2844,77.59,68,1,8.86,clear sky
63,Naze,JP,28.3667,129.4833,79.72,77,84,6.29,broken clouds
64,Jamestown,US,42.097,-79.2353,65.71,91,100,6.04,overcast clouds
65,Saskylakh,RU,71.9167,114.0833,61.81,40,4,9.66,clear sky
66,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.13,85,74,11.59,broken clouds
67,Udachnyy,RU,66.4167,112.4,55.45,66,87,13.06,overcast clouds
68,Luderitz,NA,-26.6481,15.1594,62.04,52,1,5.59,clear sky
69,Garowe,SO,8.4054,48.4845,76.15,67,100,23.06,overcast clouds
70,Jacareacanga,BR,-6.2222,-57.7528,75.27,79,100,0.78,overcast clouds
71,Kudahuvadhoo,MV,2.6708,72.8944,83.5,70,100,11.99,overcast clouds
72,Cidreira,BR,-30.1811,-50.2056,47.12,66,0,20.74,clear sky
73,Qaanaaq,GL,77.484,-69.3632,28.15,88,100,2.77,overcast clouds
74,Huarmey,PE,-10.0681,-78.1522,64.11,84,15,8.59,few clouds
75,Ponta Do Sol,PT,32.6667,-17.1,70.72,71,0,2.86,clear sky
76,Shenjiamen,CN,29.9576,122.298,70.25,82,100,8.72,overcast clouds
77,Bluff,NZ,-46.6,168.3333,47.8,74,100,7.2,light rain
78,Arraial Do Cabo,BR,-22.9661,-42.0278,66.38,83,100,9.44,overcast clouds
79,Jacksonville Beach,US,30.2947,-81.3931,79.07,86,100,6.91,overcast clouds
80,Lavrentiya,RU,65.5833,-171.0,38.55,63,100,17.09,overcast clouds
81,Khasan,RU,42.4308,130.6434,60.39,82,62,8.32,broken clouds
82,Stromness,GB,58.965,-3.296,51.76,84,100,21.0,overcast clouds
83,Pevek,RU,69.7008,170.3133,41.04,58,63,2.73,broken clouds
